Date,Price
02-01-2023,623.30
03-01-2023,611.85
04-01-2023,599.50
05-01-2023,589.75
06-01-2023,573.85
09-01-2023,596.75
10-01-2023,588.80
11-01-2023,596.85
12-01-2023,583.90
13-01-2023,577.50
16-01-2023,578.20
17-01-2023,577.25
18-01-2023,573.95
19-01-2023,563.65
20-01-2023,559.90
23-01-2023,560.00
24-01-2023,573.15
25-01-2023,573.65
27-01-2023,527.65
30-01-2023,500.00
31-01-2023,466.45
01-02-2023,488.70
02-02-2023,421.00
03-02-2023,399.95
06-02-2023,379.95
07-02-2023,398.90
08-02-2023,418.80
09-02-2023,439.70
10-02-2023,456.95
13-02-2023,443.20
14-02-2023,401.50
15-02-2023,408.90
16-02-2023,417.40
17-02-2023,438.25
20-02-2023,455.00
21-02-2023,442.95
22-02-2023,409.00
23-02-2023,394.30
24-02-2023,387.40
27-02-2023,362.10
28-02-2023,361.65
01-03-2023,379.70
02-03-2023,398.65
03-03-2023,418.55
06-03-2023,439.45
08-03-2023,461.40
09-03-2023,484.45
10-03-2023,469.00
13-03-2023,471.75
14-03-2023,444.00
15-03-2023,434.70
16-03-2023,431.00
17-03-2023,439.00
20-03-2023,423.00
21-03-2023,425.80
22-03-2023,428.40
23-03-2023,435.50
24-03-2023,428.55
27-03-2023,411.80
28-03-2023,387.00
29-03-2023,386.55
31-03-2023,405.85
03-04-2023,407.75
05-04-2023,405.50
06-04-2023,414.75
10-04-2023,419.65
11-04-2023,426.00
12-04-2023,420.60
13-04-2023,415.00
17-04-2023,414.00
18-04-2023,410.55
19-04-2023,417.00
20-04-2023,415.90
21-04-2023,412.95
24-04-2023,405.75
25-04-2023,414.90
26-04-2023,408.40
27-04-2023,407.50
28-04-2023,418.20
02-05-2023,423.20
03-05-2023,419.00
04-05-2023,401.50
05-05-2023,403.55
08-05-2023,400.00
09-05-2023,397.20
10-05-2023,393.90
11-05-2023,401.90
12-05-2023,398.05
15-05-2023,394.95
16-05-2023,392.50
17-05-2023,388.80
18-05-2023,388.20
19-05-2023,412.20
22-05-2023,444.30
23-05-2023,488.70
24-05-2023,509.00
25-05-2023,468.95
26-05-2023,457.90
29-05-2023,457.65
30-05-2023,449.40
31-05-2023,450.00
01-06-2023,448.35
02-06-2023,446.70
05-06-2023,440.95
06-06-2023,437.40
07-06-2023,442.00
08-06-2023,437.00
09-06-2023,432.90
12-06-2023,427.85
13-06-2023,425.40
14-06-2023,424.00
15-06-2023,437.90
16-06-2023,435.70
19-06-2023,423.90
20-06-2023,421.90
21-06-2023,423.70
22-06-2023,422.45
23-06-2023,416.90
26-06-2023,410.75
27-06-2023,411.30
28-06-2023,416.50
30-06-2023,417.80
03-07-2023,413.85
04-07-2023,415.40
05-07-2023,410.00
06-07-2023,412.50
07-07-2023,408.30
10-07-2023,407.90
11-07-2023,405.90
12-07-2023,405.35
13-07-2023,404.00
14-07-2023,403.95
17-07-2023,410.95
18-07-2023,414.50
19-07-2023,409.45
20-07-2023,403.40
21-07-2023,403.85
24-07-2023,403.60
25-07-2023,419.65
26-07-2023,422.70
27-07-2023,416.80
28-07-2023,413.70
31-07-2023,416.40
01-08-2023,416.45
02-08-2023,414.45
03-08-2023,400.50
04-08-2023,402.00
07-08-2023,402.00
08-08-2023,396.40
09-08-2023,384.80
10-08-2023,384.00
11-08-2023,390.00
14-08-2023,379.80
16-08-2023,376.25
17-08-2023,373.90
18-08-2023,393.55
21-08-2023,391.90
22-08-2023,389.00
23-08-2023,383.00
24-08-2023,381.00
25-08-2023,378.75
28-08-2023,378.00
29-08-2023,374.85
30-08-2023,373.10
31-08-2023,368.25
01-09-2023,357.00
04-09-2023,357.70
05-09-2023,355.00
06-09-2023,355.30
07-09-2023,355.50
08-09-2023,361.80
11-09-2023,368.20
12-09-2023,369.50
13-09-2023,358.70
14-09-2023,356.05
15-09-2023,354.65
18-09-2023,358.05
20-09-2023,352.65
21-09-2023,351.15
22-09-2023,348.40
25-09-2023,345.55
26-09-2023,347.75
27-09-2023,344.65
28-09-2023,344.15
29-09-2023,341.70
03-10-2023,338.35
04-10-2023,364.00
05-10-2023,358.80
06-10-2023,355.00
09-10-2023,343.40
10-10-2023,348.90
11-10-2023,354.00
12-10-2023,353.00
13-10-2023,349.40
16-10-2023,346.15
17-10-2023,346.15
18-10-2023,343.90
19-10-2023,341.75
20-10-2023,341.60
23-10-2023,337.30
25-10-2023,332.50
26-10-2023,320.35
27-10-2023,335.75
30-10-2023,334.40
31-10-2023,331.95
01-11-2023,332.00
02-11-2023,322.95
03-11-2023,322.50
06-11-2023,320.90
07-11-2023,309.80
08-11-2023,312.35
09-11-2023,307.90
10-11-2023,300.55
12-11-2023,298.50
13-11-2023,299.75
15-11-2023,299.00
16-11-2023,298.50
17-11-2023,298.60
20-11-2023,317.05
21-11-2023,327.50
22-11-2023,322.40
23-11-2023,320.80
24-11-2023,321.00
28-11-2023,348.60
29-11-2023,371.95
30-11-2023,349.80
01-12-2023,347.00
04-12-2023,364.80
05-12-2023,380.85
06-12-2023,410.50
07-12-2023,406.00
08-12-2023,399.00
11-12-2023,382.95
12-12-2023,379.50
13-12-2023,374.95
14-12-2023,374.50
15-12-2023,373.90
18-12-2023,371.90
19-12-2023,369.20
20-12-2023,369.60
21-12-2023,353.00
22-12-2023,369.70
26-12-2023,368.00
27-12-2023,366.95
28-12-2023,360.30
29-12-2023,356.70
01-01-2024,375.60
02-01-2024,370.70
03-01-2024,397.80
04-01-2024,389.40
05-01-2024,383.65
08-01-2024,378.70
09-01-2024,378.40
10-01-2024,374.10
11-01-2024,372.75
12-01-2024,371.20
15-01-2024,369.55
16-01-2024,364.00
17-01-2024,358.50
18-01-2024,363.45
19-01-2024,360.15
20-01-2024,369.90
23-01-2024,368.00
24-01-2024,354.40
